1,Total animals,233
23,Id,0
4,Survived Animals,19
5,Total Animals,19
6,Available Food,24

78,Id,E
9,Food Quantity,1
10,View Range,82,70525
11,Speed,3,125404
12,Act Range,5
13,Mutation Rate,-3,331254

1415,Id,I
16,Food Quantity,2
17,View Range,84,29933
18,Speed,4,711675
19,Act Range,5
20,Mutation Rate,3,895024

2122,Id,O
23,Food Quantity,1
24,View Range,73,38651
25,Speed,5,409544
26,Act Range,5
27,Mutation Rate,-2,274142

2829,Id,Q
30,Food Quantity,1
31,View Range,86,65938
32,Speed,4,680126
33,Act Range,5
34,Mutation Rate,3,813772

3536,Id,R
37,Food Quantity,2
38,View Range,77,15611
39,Speed,4,641861
40,Act Range,5
41,Mutation Rate,-0,2862277

4243,Id,T
44,Food Quantity,1
45,View Range,86,87805
46,Speed,3,98246
47,Act Range,5
48,Mutation Rate,-1,562943

4950,Id,U
51,Food Quantity,1
52,View Range,77,58801
53,Speed,4,818453
54,Act Range,5
55,Mutation Rate,4,600865

5657,Id,W
58,Food Quantity,1
59,View Range,70,20193
60,Speed,6,247157
61,Act Range,5
62,Mutation Rate,2,466098

6364,Id,Y
65,Food Quantity,1
66,View Range,89,44902
67,Speed,6,421221
68,Act Range,5
69,Mutation Rate,-0,761112

7071,Id,Z
72,Food Quantity,2
73,View Range,82,78029
74,Speed,6,239994
75,Act Range,5
76,Mutation Rate,-3,076876

7778,Id,]
79,Food Quantity,1
80,View Range,86,56601
81,Speed,5,034059
82,Act Range,5
83,Mutation Rate,-4,509165

8485,Id,^
86,Food Quantity,1
87,View Range,81,65321
88,Speed,3,062875
89,Act Range,5
90,Mutation Rate,3,445953

9192,Id,`
93,Food Quantity,1
94,View Range,70,61039
95,Speed,6,232378
96,Act Range,5
97,Mutation Rate,5,059803

9899,Id,c
100,Food Quantity,1
101,View Range,81,26777
102,Speed,3,356554
103,Act Range,5
104,Mutation Rate,-2,232746

105106,Id,e
107,Food Quantity,2
108,View Range,78,04607
109,Speed,4,012207
110,Act Range,5
111,Mutation Rate,-2,773454

112113,Id,f
114,Food Quantity,2
115,View Range,75,21062
116,Speed,5,821407
117,Act Range,5
118,Mutation Rate,-2,625039

119120,Id,j
121,Food Quantity,1
122,View Range,70,70115
123,Speed,4,393878
124,Act Range,5
125,Mutation Rate,4,509479

126127,Id,k
128,Food Quantity,1
129,View Range,85,0531
130,Speed,3,523571
131,Act Range,5
132,Mutation Rate,0,2640775

133134,Id,m
135,Food Quantity,1
136,View Range,88,4946
137,Speed,6,43012
138,Act Range,5
139,Mutation Rate,2,127145

140141,Id,1
142,Survived Animals,12
143,Total Animals,31
144,Available Food,21

145146,Id,E
147,Food Quantity,0
148,View Range,82,70525
149,Speed,3,125404
150,Act Range,5
151,Mutation Rate,-3,331254

152153,Id,I
154,Food Quantity,0
155,View Range,84,29933
156,Speed,4,711675
157,Act Range,5
158,Mutation Rate,3,895024

159160,Id,O
161,Food Quantity,0
162,View Range,73,38651
163,Speed,5,409544
164,Act Range,5
165,Mutation Rate,-2,274142

166167,Id,Q
168,Food Quantity,0
169,View Range,86,65938
170,Speed,4,680126
171,Act Range,5
172,Mutation Rate,3,813772

173174,Id,R
175,Food Quantity,0
176,View Range,77,15611
177,Speed,4,641861
178,Act Range,5
179,Mutation Rate,-0,2862277

180181,Id,T
182,Food Quantity,0
183,View Range,86,87805
184,Speed,3,98246
185,Act Range,5
186,Mutation Rate,-1,562943

187188,Id,U
189,Food Quantity,0
190,View Range,77,58801
191,Speed,4,818453
192,Act Range,5
193,Mutation Rate,4,600865

194195,Id,W
196,Food Quantity,0
197,View Range,70,20193
198,Speed,6,247157
199,Act Range,5
200,Mutation Rate,2,466098

201202,Id,Y
203,Food Quantity,0
204,View Range,89,44902
205,Speed,6,421221
206,Act Range,5
207,Mutation Rate,-0,761112

208209,Id,Z
210,Food Quantity,0
211,View Range,82,78029
212,Speed,6,239994
213,Act Range,5
214,Mutation Rate,-3,076876

215216,Id,]
217,Food Quantity,0
218,View Range,86,56601
219,Speed,5,034059
220,Act Range,5
221,Mutation Rate,-4,509165

222223,Id,^
224,Food Quantity,0
225,View Range,81,65321
226,Speed,3,062875
227,Act Range,5
228,Mutation Rate,3,445953

229230,Id,`
231,Food Quantity,0
232,View Range,70,61039
233,Speed,6,232378
234,Act Range,5
235,Mutation Rate,5,059803

236237,Id,c
238,Food Quantity,0
239,View Range,81,26777
240,Speed,3,356554
241,Act Range,5
242,Mutation Rate,-2,232746

243244,Id,e
245,Food Quantity,0
246,View Range,78,04607
247,Speed,4,012207
248,Act Range,5
249,Mutation Rate,-2,773454

250251,Id,f
252,Food Quantity,0
253,View Range,75,21062
254,Speed,5,821407
255,Act Range,5
256,Mutation Rate,-2,625039

257258,Id,j
259,Food Quantity,0
260,View Range,70,70115
261,Speed,4,393878
262,Act Range,5
263,Mutation Rate,4,509479

264265,Id,k
266,Food Quantity,0
267,View Range,85,0531
268,Speed,3,523571
269,Act Range,5
270,Mutation Rate,0,2640775

271272,Id,m
273,Food Quantity,0
274,View Range,88,4946
275,Speed,6,43012
276,Act Range,5
277,Mutation Rate,2,127145

278279,Id,t
280,Food Quantity,2
281,View Range,84,48058
282,Speed,5,116094
283,Act Range,4,700749
284,Mutation Rate,4,38881

285286,Id,w
287,Food Quantity,1
288,View Range,86,22919
289,Speed,5,096833
290,Act Range,5,377646
291,Mutation Rate,3,932398

292293,Id,x
294,Food Quantity,1
295,View Range,77,15611
296,Speed,4,641861
297,Act Range,5
298,Mutation Rate,-0,2862277

299300,Id,y
301,Food Quantity,1
302,View Range,77,15611
303,Speed,4,641861
304,Act Range,5
305,Mutation Rate,-0,2862277

306307,Id,|
308,Food Quantity,2
309,View Range,70,57968
